Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2017-10-16,AAPL,39.474998,40.0,39.412498,39.970001,37.934151,96486000
2017-10-16,BTC,5687.569824,5776.22998,5544.209961,5725.589844,5725.589844,2008070016
2017-10-16,GOOG,49.605,49.695351,49.200001,49.599998,49.599998,18210000
2017-10-16,MSFT,77.41999799999999,77.809998,77.349998,77.650002,72.963806,12380100
2017-10-17,AAPL,39.945,40.217499,39.807499,40.1175,38.074127000000004,75989200
2017-10-17,BTC,5741.580078,5800.350098,5472.720215,5605.509765999999,5605.509765999999,1821570048
2017-10-17,GOOG,49.5145,49.821999,49.429501,49.609001,49.609001,25804000
2017-10-17,MSFT,77.470001,77.620003,77.25,77.589996,72.907425,16824000
2017-10-18,AAPL,40.105,40.177502000000004,39.900002,39.939999,37.90567,65496800
2017-10-18,BTC,5603.819824,5603.819824,5151.439941,5590.689941,5590.689941,2399269888
2017-10-18,GOOG,49.588501,49.835999,49.348751,49.640499,49.640499,21152000
2017-10-18,MSFT,77.66999799999999,77.849998,77.370003,77.610001,72.926208,13300700
2017-10-19,AAPL,39.1875,39.27,38.755001,38.994999,37.008808,170336800
2017-10-19,BTC,5583.740234000001,5744.350098,5531.060059,5708.52002,5708.52002,1780540032
2017-10-19,GOOG,49.299999,49.444,48.919498,49.2225,49.2225,26272000
2017-10-19,MSFT,77.57,77.93,77.349998,77.910004,73.208107,15092800
2017-10-20,AAPL,39.1525,39.4375,38.990002000000004,39.0625,37.072868,95896400
2017-10-20,BTC,5708.109863000001,6060.109863000001,5627.22998,6011.450195,6011.450195,2354429952
2017-10-20,GOOG,49.472,49.549999,49.229,49.41,49.41,23664000
2017-10-20,MSFT,78.32,78.970001,78.220001,78.809998,74.053795,22866400
2017-10-21,AAPL,-1.0,-1.0,-1.0,-1.0,-1.0,-1
2017-10-21,BTC,5996.790039,6194.879883,5965.069824,6031.600098,6031.600098,2207099904
2017-10-21,GOOG,-1.0,-1.0,-1.0,-1.0,-1.0,-1
2017-10-21,MSFT,-1.0,-1.0,-1.0,-1.0,-1.0,-1
2017-10-22,AAPL,-1.0,-1.0,-1.0,-1.0,-1.0,-1
2017-10-22,BTC,6036.660156,6076.259765999999,5792.339844,6008.419922,6008.419922,2034630016
2017-10-22,GOOG,-1.0,-1.0,-1.0,-1.0,-1.0,-1
2017-10-22,MSFT,-1.0,-1.0,-1.0,-1.0,-1.0,-1
2017-10-23,AAPL,39.2225,39.422501000000004,38.875,39.0425,37.053875,87937200
2017-10-23,BTC,6006.0,6075.589844,5732.470215,5930.319824,5930.319824,2401840128
2017-10-23,GOOG,49.476002,49.476002,48.306,48.422501000000004,48.422501000000004,29568000
2017-10-23,MSFT,78.989998,79.339996,78.760002,78.83000200000001,74.07257800000001,20627200
